"sequencial_candidato","nome","numero_cadidato","UF","partido","setor_economico_receita","quantidade_doacoes","quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos/comites","recursos_de_partidos","recursos_de_pessoas_físicas","recursos_de_pessoas_juridicas","recursos_proprios","votos","quantidade_despesas","quantidade_fornecedores","total_despesa","media_despesa","setor_economico_despesa","cargo","idade","sexo","grau","estado_civil"
"100000000107","LOURIVAL MENDES DA FONSECA FILHO",7070,"MA","PT do B","#NULO",23,14,151566.39,6589.84304347826,NA,NA,92350,20000,39216.39,27277,72,26,151566.39,2105.08875,"#NULO","DEPUTADO FEDERAL",59,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"50000000651","ADALBERTO LELIS FILHO",1540,"BA","PMDB","#NULO",5,5,161770.58,32354.116,50000,103670.58,8100,NA,NA,9477,13,7,161770.58,12443.8907692308,"Impressão de material para outros usos","DEPUTADO FEDERAL",58,"MASCULINO","ENSINO MÉDIO INCOMPLETO","DIVORCIADO(A)"
"250000000277","ADEILDE MARY ALVES ANTUNES",3333,"SP","PMN","Atividades de organizações políticas",8,3,2749,343.625,NA,2499,NA,NA,250,2943,8,3,2749,343.625,"Atividades de organizações políticas","DEPUTADO FEDERAL",61,"FEMININO","SUPERIOR COMPLETO","CASADO(A)"
"120000000110","GEAN CARLOS VOLPATO",1522,"MS","PMDB","#NULO",48,25,162705.87,3389.705625,107400,NA,46805.87,8500,NA,4421,245,139,162705.87,664.105591836735,"#NULO","DEPUTADO FEDERAL",36,"MASCULINO","SUPERIOR INCOMPLETO","DIVORCIADO(A)"
"210000000644","AMINIE PINHEIRO JARDIM",1127,"RS","PP","Atividades de organizações políticas",11,6,45540,4140,NA,23310,19480,2750,NA,1455,18,13,45540,2530,"#NULO","DEPUTADO FEDERAL",26,"FEMININO","SUPERIOR COMPLETO","CASADO(A)"
"160000000459","EMERSON LEONEVAL BORGES",4315,"PR","PV","#NULO",9,7,15006.46,1667.38444444444,210,896.46,11300,NA,2600,1407,23,9,15006.46,652.454782608696,"Comércio varejista especializado de equipamentos de telefonia e comunicação","DEPUTADO FEDERAL",40,"MASCULINO","SUPERIOR COMPLETO","VIÚVO(A)"
"110000000016","NEUSALINA MARIA DE JESUS",4552,"MT","PSDB","Atividades de organizações políticas",20,11,59360.03,2968.0015,22425.95,21562.08,12372,NA,3000,737,42,23,59303.23,1411.98166666667,"#NULO","DEPUTADO FEDERAL",57,"FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)"
"250000001388","ADRIANO ELI CORREA",2577,"SP","DEM","Atividades de organizações políticas",89,30,1107579.77,12444.7165168539,270444.82,728000,40681.37,68453.58,NA,134138,346,117,1106759.56,3198.72705202312,"#NULO","DEPUTADO FEDERAL",38,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"140000000794","JOÃO DUDIMAR DE AZEVEDO PAXIUBA",9090,"PA","PROS","#NULO",11,9,21372.43,1942.94818181818,10672.43,NA,10700,NA,NA,16082,26,13,18556.63,713.716538461538,"Impressão de material para outros usos","DEPUTADO FEDERAL",58,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
"30000000353","ANDRÉ DOS SANTOS ABDON",1010,"AP","PRB","#NULO",13,13,89464,6881.84615384615,NA,70000,15964,1500,2000,13798,37,15,89373.2,2415.49189189189,"#NULO","DEPUTADO FEDERAL",43,"MASCULINO","SUPERIOR COMPLETO","CASADO(A)"
