nome,UF,partido,votos,total_despesa,quantidade_doadores,quantidade_despesas,recursos_de_pessoas_juridicas,recursos_de_partidos,recursos_de_pessoas_físicas,recursos_proprios,idade,sexo,grau,prop_doacoes_pj,prop_doacoes_pf,prop_doacoes_partido,prop_recursos_proprios,total_votos_uf,votos_prop
LOURIVAL MENDES DA FONSECA FILHO,MA,PT do B,27277,151566.39,14,72,2e4,0,92350,39216.39,59,MASCULINO,SUPERIOR COMPLETO,0.13195537612263508,0.6093039492462675,0,0.2587406746310973,4497336,0.006065146122059815
ADALBERTO LELIS FILHO,BA,PMDB,9477,161770.58,5,13,0,103670.58,8100,0,58,MASCULINO,ENSINO MÉDIO INCOMPLETO,0,0.05007090906146223,0.6408494053739562,0,10185417,9.304479139145703e-4
ADEILDE MARY ALVES ANTUNES,SP,PMN,2943,2749,3,8,0,2499,0,250,61,FEMININO,SUPERIOR COMPLETO,0,0,0.9090578392142598,0.09094216078574027,31998432,9.197325668957779e-5
GEAN CARLOS VOLPATO,MS,PMDB,4421,162705.87,25,245,8500,0,46805.87,0,36,MASCULINO,SUPERIOR INCOMPLETO,0.0522415079431369,0.28767167404593336,0,0,1818937,0.002430540475013703
AMINIE PINHEIRO JARDIM,RS,PP,1455,45540,6,18,2750,23310,19480,0,26,FEMININO,SUPERIOR COMPLETO,0.06038647342995169,0.4277558190601669,0.5118577075098815,0,8392033,1.7337872718088692e-4
EMERSON LEONEVAL BORGES,PR,PV,1407,15006.46,7,23,0,896.46,11300,2600,40,MASCULINO,SUPERIOR COMPLETO,0,0.7530090374412087,0.059738272717216455,0.17325871657939315,7865950,1.7887222776651263e-4
NEUSALINA MARIA DE JESUS,MT,PSDB,737,59303.23,11,42,0,21562.08,12372,3e3,57,FEMININO,SUPERIOR COMPLETO,0,0.20862270065222416,0.3635903137147842,0.05058746378569936,2189703,3.365753255121813e-4
ADRIANO ELI CORREA,SP,DEM,134138,1106759.56,30,346,68453.58,728e3,40681.37,0,38,MASCULINO,SUPERIOR COMPLETO,0.06185045286620339,0.036757188706822645,0.6577761117328862,0,31998432,0.004192017908877535
JOÃO DUDIMAR DE AZEVEDO PAXIUBA,PA,PROS,16082,18556.63,9,26,0,0,10700,0,58,MASCULINO,SUPERIOR COMPLETO,0,0.5766133182587571,0,0,5188450,0.003099576944945022
ANDRÉ DOS SANTOS ABDON,AP,PRB,13798,89373.2,13,37,1500,7e4,15964,2e3,43,MASCULINO,SUPERIOR COMPLETO,0.016783554801663138,0.17862177923583356,0.7832325574109464,0.022378073068884185,455514,0.030291055818262445
JOSE WELLINGTON BARRETO,RN,PPS,2361,4637.75,1,21,0,0,4550,0,57,MASCULINO,SUPERIOR COMPLETO,0,0.9810791871058164,0,0,2327451,0.0010144144817656742
ROBERTO ANTONIO ALVES,SP,PRP,282,1767.5,2,3,1700,0,0,0,57,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,0.9618104667609618,0,0,0,31998432,8.812931833659849e-6
JOSIAS DA SILVA MOREIRA,RJ,PV,282,1718,3,4,0,0,1448,0,48,MASCULINO,ENSINO MÉDIO COMPLETO,0,0.8428405122235157,0,0,12141145,2.3226804391183864e-5
AGRIMARIO VITORINO ALVES,RJ,PEN,269,2100,1,3,0,0,0,0,46,MASCULINO,ENSINO MÉDIO COMPLETO,0,0,0,0,12141145,2.2156065181661202e-05
ENEAS ROMULO DALTON DI FRANCO DE ARAUJO,RO,PDT,3956,19300.14,7,20,0,5508.51,9490,0,53,MASCULINO,SUPERIOR COMPLETO,0,0.4917062777782959,0.2854129555536903,0,1127154,0.0035097244919505234
CELSO UBIRAJARA RUSSOMANNO,SP,PRB,1524361,1956049.3,16,2952,208890,1e5,15835,5300,58,MASCULINO,SUPERIOR COMPLETO,0.10679178689412377,0.008095399231501987,0.05112345583518779,0.002709543159264953,31998432,0.04763861554216157
ADRIANA GOMES CASTANHO,MT,PROS,304,1882.08,2,2,0,782.08,1100,0,27,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,0,0.5844597466632662,0.4155402533367339,0,2189703,1.388316132370463e-4
JOSE PAULO DE MENDONÇA LEMOS,SP,PTC,494,995,4,6,0,145,700,0,62,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,0,0.7035175879396985,0.1457286432160804,0,31998432,1.5438256474567255e-5
FRANCISCO ALMINO LEITE DE MENEZES,CE,PSDB,1095,4810.92,2,15,0,0,362,4500,73,MASCULINO,SUPERIOR COMPLETO,0,0.07524548319240394,0,0.9353720286348557,6271554,1.745978747851011e-4
RODRIGO COSTA ARAUJO,MG,PSB,280,760,1,3,0,0,0,0,34,MASCULINO,SUPERIOR COMPLETO,0,0,0,0,15248681,1.8362243921293914e-5
TANIA GERALDA DE SOUZA SILVA,MG,PTC,99,5508.93,4,7,0,0,980,0,51,FEMININO,SUPERIOR COMPLETO,0,0.1778929846630834,0,0,15248681,6.492364815028919e-6
CELIA REGINA PIONTKIEVICZ RODRIGUES DA SILVA,PR,PC do B,602,3640,5,6,0,0,1850,0,44,FEMININO,ENSINO MÉDIO COMPLETO,0,0.5082417582417582,0,0,7865950,7.653239595980142e-5
RENATA APARECIDA DE OLIVEIRA VIEIRA,MG,PT do B,741,14575.6,4,20,0,0,2800,0,37,FEMININO,SUPERIOR COMPLETO,0,0.19210186887675293,0,0,15248681,4.859436694885282e-5
MARIA DAS NEVES SOUZA SILVA,RR,PC do B,195,17649.83,6,12,0,9259.43,8372,18.4,62,FEMININO,ENSINO FUNDAMENTAL COMPLETO,0,0.4743388463231657,0.5246186507178823,0.0010425029589520125,299558,6.509590797107739e-4
MARLON MEIRA DOS SANTOS,SP,PRTB,735,8567.33,4,17,0,450,5455,1100,44,MASCULINO,SUPERIOR COMPLETO,0,0.6367211254848361,0.05252511575951901,0.12839472741215757,31998432,2.2969875523900672e-5
RODRIGO MIRANDA MENDES,MG,PT do B,843,9332.5,3,14,0,0,1e3,1250,33,MASCULINO,SUPERIOR COMPLETO,0,0.10715242432360032,0,0.1339405304045004,15248681,5.528347009160989e-5
GIVALDO DE SÁ GOUVEIA CARIMBÃO,AL,PROS,82582,1323921.12,11,354,3e4,1255148.6,27500,12e3,56,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,0.022659960285247204,0.020771630261476604,0.9480539142694544,0.009063984114098882,1995727,0.04137940710327615
ISAAK JOEL PEREIRA ALMEIDA,PR,PSDC,1347,1276.8,5,11,0,0,200,271,21,MASCULINO,ENSINO MÉDIO COMPLETO,0,0.15664160401002508,0,0.21224937343358397,7865950,1.7124441421570186e-4
RONALDO JOSÉ BENEDET,SC,PMDB,105303,1795659.99,141,761,1044462.08,55e4,189350,11847.9,58,MASCULINO,SUPERIOR COMPLETO,0.5816591592041876,0.10544869354693369,0.3062940662836732,0.006598075396222421,4859324,0.021670298173161535
RÔMULO JOSÉ DE GOUVEIA,PB,PSD,84820,390268.34,16,85,159150.14,204926.4,14394.4,0,49,MASCULINO,SUPERIOR COMPLETO,0.4077966970110873,0.03688334031912504,0.52509101814408,0,2835882,0.029909566053876714
MARCELO DE MEDEIROS CARDOSO LEITE,SP,PMDB,1022,15589.27,3,11,0,2981.5,0,0,46,MASCULINO,SUPERIOR COMPLETO,0,0,0.19125334284414858,0,31998432,3.193906501418569e-5
